PMID	CorrectResults 	Prediction	Title	Haley	Yi Wang	Xiaohuan	Chenwei
9782058	N	N	Structural model of phospholipid-reconstituted human transferrin receptor derived by electron microscopy.	N	N	N	N
12626558	Y	Y	Mast cell-derived exosomes induce phenotypic and functional maturation of dendritic cells and elicit specific immune responses in vivo.	Y	Y	Y	Y
12694561	N	N	Recycling compartments and the internal vesicles of multivesicular bodies harbor most of the cholesterol found in the endocytic pathway.	N	N	N	N
15989963	N	N	Multiple RNA surveillance pathways limit aberrant expression of iron uptake mRNAs and prevent iron toxicity in S. cerevisiae.	N	N	N	Y
17709486	N	Y	Novel exosome-targeted CD4+ T cell vaccine counteracting CD4+25+ regulatory T cell-mediated immune suppression and stimulating efficient central memory CD8+ CTL responses.	N	N		Y
18538453	N	N	Enhancement of immunostimulatory properties of exosomal vaccines by incorporation of fusion-competent G protein of vesicular stomatitis virus.	N	N		Y
19101547	N	N	Elimination of a bacterial pore-forming toxin by sequential endocytosis and exocytosis.	N	N	N	Y
19801663	N	N	Microenvironmental pH is a key factor for exosome traffic in tumor cells.	N	N	N	N
19903899	N	N	Galectin-5 is bound onto the surface of rat reticulocyte exosomes and modulates vesicle uptake by macrophages.	Y	N	N	N
20020500	N	N	Toll-like receptor 2-mediated peptidoglycan uptake by immature intestinal epithelial cells from apical side and exosome-associated transcellular transcytosis.	N	N	N	N
20124479	Y	Y	Cell surface tetraspanin Tspan8 contributes to molecular pathways of exosome-induced endothelial cell activation.	Y	Y	Y	Y
20136776	N	N	Cellular internalization of exosomes occurs through phagocytosis.	N	N	N	N
20881190	Y	Y	Dendritic cells recruit T cell exosomes via exosomal LFA-1 leading to inhibition of CD8+ CTL responses through downregulation of peptide/MHC class I and Fas ligand-mediated cytotoxicity.	Y	Y	Y	Y
21235781	N	N	Human saliva, plasma and breast milk exosomes contain RNA: uptake by macrophages.	N	N	N	N
21724807	N	N	Intestinal epithelial cell-derived integrin αβ6 plays an important role in the induction of regulatory T cells and inhibits an antigen-specific Th2 response.	N	N	N	Y
22236141	N	N	Differential regulation of acid sphingomyelinase in macrophages stimulated with oxidized low-density lipoprotein (LDL) and oxidized LDL immune complexes: role in phagocytosis and cytokine release.	N	N	N	N
22303002	Y	Y	Sphingolipid-modulated exosome secretion promotes clearance of amyloid-β by microglia.	Y	Y	N	Y
22655043	N	N	Shifting the paradigm: the putative mitochondrial protein ABCB6 resides in the lysosomes of cells and in the plasma membrane of erythrocytes.	N	N	N	N
22723089	N	N	Exosomes as biomarker enriched microvesicles: characterization of exosomal proteins derived from a panel of prostate cell lines with distinct AR phenotypes.	N	N	N	N
22915583	N	N	A subunit of eukaryotic translation initiation factor 2α-phosphatase (CreP/PPP1R15B) regulates membrane traffic.	N	N	N	Y
22920859	N	N	Exosomal cell-to-cell transmission of alpha synuclein oligomers.	N	N	N	N
22934045	Y	N	Oncogenic extracellular vesicles in brain tumor progression.	Y	Y	Y	Y
23029346	N	N	Extracellular vesicles from parasitic helminths contain specific excretory/secretory proteins and are internalized in intestinal host cells.	N	N	N	N
23254476	N	N	Dynamics of exosome internalization and trafficking.	N	N	N	N
23508692	N	N	Extracellular vesicles - biomarkers and effectors of the cellular interactome in cancer.	N	N	Y	Y
23596423	N	N	Muscle-enriched microRNA miR-486 decreases in circulation in response to exercise in young men.	N	N	N	N
23785385	N	N	The complexity, function and applications of RNA in circulation.	N	N	N	Y
23913240	N	N	Exosomes as a potential tool for a specific delivery of functional molecules.	N	N	N	N
24058665	Y	Y	Monocyte exosomes stimulate the osteogenic gene expression of mesenchymal stem cells.	Y	Y	Y	Y
24379393	Y	Y	Oncogenic KIT-containing exosomes increase gastrointestinal stromal tumor cell invasion.	Y	Y	Y	Y
24516610	Y	Y	Exosome release and low pH belong to a framework of resistance of human melanoma cells to cisplatin.	Y	N	N	Y
24628247	N	N	Thiophene-based compounds as fluorescent tags to study mesenchymal stem cell uptake and release of taxanes.	N	N	N	N
24667602	N	N	Radiation increases the cellular uptake of exosomes through CD29/CD81 complex formation.	N	N	Y	N
24684244	N	N	Peripheral prion disease pathogenesis is unaltered in the absence of sialoadhesin (Siglec-1/CD169).	N	N	N	N
24780268	Y	Y	Protein polymer nanoparticles engineered as chaperones protect against apoptosis in human retinal pigment epithelial cells.	N	N	Y	Y
24848946	N	N	Determination of exosome concentration in solution using surface plasmon resonance spectroscopy.	N	N	N	N
25066479	N	N	Improved vaccine efficacy of tumor exosome compared to tumor lysate loaded dendritic cells in mice.	N	N		N
25122645	N	N	MicroRNAs are absorbed in biologically meaningful amounts from nutritionally relevant doses of cow milk and affect gene expression in peripheral blood mononuclear cells, HEK-293 kidney cell cultures, and mouse livers.	N	N	N	Y
25135963	N	N	Analysis of the RNA content of the exosomes derived from blood serum and urine and its potential as biomarkers.	N	N	N	N
25194507	Y	Y	Fetuin-A associates with histones intracellularly and shuttles them to exosomes to promote focal adhesion assembly resulting in rapid adhesion and spreading in breast carcinoma cells.	Y	Y	Y	Y
25338648	Y	Y	Exosomes from breast cancer cells stimulate proliferation and inhibit apoptosis of CD133+ cancer cells in vitro.	Y	Y	Y	Y
25342129	N	N	Dysfunctionally phosphorylated type 1 insulin receptor substrate in neural-derived blood exosomes of preclinical Alzheimer's disease.	N	N	Y	N
25426818	N	N	Cancerous epithelial cell lines shed extracellular vesicles with a bimodal size distribution that is sensitive to glutamine inhibition.	N	N	N	N
25483424	Y	Y	Active loading into extracellular vesicles significantly improves the cellular uptake and photodynamic effect of porphyrins.	Y	Y	N	Y
25484190	N	N	Autophagy modulates SNCA/α-synuclein release, thereby generating a hostile microenvironment.	N	N	N	Y
25498500	N	N	Effective internalization of U251-MG-secreted exosomes into cancer cells and characterization of their lipid components.	N	N	N	N
25544774	Y	N	The tetraspanins CD151 and Tspan8 are essential exosome components for the crosstalk between cancer initiating cells and their surrounding.	Y	Y	Y	N
25847945	N	Y	Transcellular delivery of vesicular SOCS proteins from macrophages to epithelial cells blunts inflammatory signaling.	N	N	N	Y
25867197	Y	Y	Mesenchymal Stem Cell Exosomes Induce Proliferation and Migration of Normal and Chronic Wound Fibroblasts, and Enhance Angiogenesis In Vitro.	Y	Y	Y	Y
25907253	N	N	Rapid and comprehensive 'shotgun' lipidome profiling of colorectal cancer cell derived exosomes.	N	N	N	N
25933830	N	N	Cell-specific uptake of mantle cell lymphoma-derived exosomes by malignant and non-malignant B-lymphocytes.	N	N	N	N
25963929	N	N	Acquisition of new tumor cell properties by MSC-derived exosomes.	N	N	Y	Y
25970769	N	N	Observations of Tunable Resistive Pulse Sensing for Exosome Analysis: Improving System Sensitivity and Stability.	N	N	N	N
25985394	Y	Y	Pancreatic cancer exosomes initiate pre-metastatic niche formation in the liver.	Y	Y	N	Y
26011176	N	N	Combined treatment with a pH-sensitive fusogenic peptide and cationic lipids achieves enhanced cytosolic delivery of exosomes.	N	N	N	N
26036864	N	N	Active macropinocytosis induction by stimulation of epidermal growth factor receptor and oncogenic Ras expression potentiates cellular uptake efficacy of exosomes.	N	N	N	N
26073939	N	N	A novel micro-emulsion and micelle assembling method to prepare DEC205 monoclonal antibody coupled cationic nanoliposomes for simulating exosomes to target dendritic cells.	N	N	N	N
26204397	N	N	Oncogene-dependent survival of highly transformed cancer cells under conditions of extreme centrifugal force - implications for studies on extracellular vesicles.	N	N	Y	Y
26269243	N	N	The Intestinal Transport of Bovine Milk Exosomes Is Mediated by Endocytosis in Human Colon Carcinoma Caco-2 Cells and Rat Small Intestinal IEC-6 Cells.	N	N	N	N
26374632	N	N	PML-RARa modulates the vascular signature of extracellular vesicles released by acute promyelocytic leukemia cells.	N	N	N	N
26432620	N	N	A novel infant milk formula concept: Mimicking the human milk fat globule structure.	N	N	N	N
26472446	N	N	Delivery of Small Interfering RNAs to Cells via Exosomes.	N	N	N	N
26511855	N	N	Nanoparticle Targeting and Cholesterol Flux Through Scavenger Receptor Type B-1 Inhibits Cellular Exosome Uptake.	N	N	N	N
26524530	Y	N	Tumour exosome integrins determine organotropic metastasis.	Y	Y	Y	Y
26598621	N	N	TDP-43 is intercellularly transmitted across axon terminals.	N	N	N	N
26647805	Y	Y	Exosomes derived from SW480 colorectal cancer cells promote cell migration in HepG2 hepatocellular cancer cells via the mitogen-activated protein kinase pathway.	Y	Y	Y	Y
26840259	Y	Y	Exosomes confer pro-survival signals to alter the phenotype of prostate cells in their surrounding environment.	Y	Y	Y	Y
26880625	N	N	Electrical stimulation to optimize cardioprotective exosomes from cardiac stem cells.	N	N	B	N
26920219	Y	Y	Tumor microenvironment derived exosomes pleiotropically modulate cancer cell metabolism.	Y	Y	Y	Y
26938586	N	N	Characterization of Microvesicles Released from Human Red Blood Cells.	N	N	N	N
26955882	N	N	Energy-requiring uptake of prostasomes and PC3 cell-derived exosomes into non-malignant and malignant cells.	N	N	N	N
27163393	-	N	Mildly oxidized HDL decrease agonist-induced platelet aggregation and release of pro-coagulant platelet extracellular vesicles.	Y	N	N	Y
27186416	Y	Y	Mesenchymal stem cell-derived exosomes facilitate nasopharyngeal carcinoma progression.	Y	Y	Y	Y
27251858	N	N	Anomalous uptake and circulatory characteristics of the plant-based small RNA MIR2911.	N	N	N	N
27305829	N	N	Exosomes: Tunable Nano Vehicles for Macromolecular Delivery of Transferrin and Lactoferrin to Specific Intracellular Compartment.	N	N	N	N
27373548	N	N	Biogenesis of a new type of extracellular vesicles in gastrointestinal stromal tumors: ultrastructural profiles of spheresomes.	N	N	N	N
27522254	N	N	Efficient production and enhanced tumor delivery of engineered extracellular vesicles.	N	N	N	N
27596268	Y	Y	The Role of Extracellular Vesicle and Tunneling Nanotube-Mediated Intercellular Cross-Talk Between Mesenchymal Stem Cells and Human Peripheral T Cells.	Y	N	Y	N
27616750	Y	N	Impaired activation of ALS monocytes by exosomes.	Y	Y	Y	Y
27644331	N	N	Dual-Wavelength Surface Plasmon Resonance for Determining the Size and Concentration of Sub-Populations of Extracellular Vesicles.	N	N	N	N
27742443	N	N	Functional exosome-mimic for delivery of siRNA to cancer: in vitro and in vivo evaluation.	N	N	N	N
27742710	N	N	Caspase-3-dependent cleavage of Bcl-xL in the stroma exosomes is required for their uptake by hematological malignant cells.	N	N	N	N
27748399	N	N	Vectorization of biomacromolecules into cells using extracellular vesicles with enhanced internalization induced by macropinocytosis.	N	N	N	N
27750100	N	N	Convective exosome-tracing microfluidics for analysis of cell-non-autonomous neurogenesis.	N	N	N	N
27783496	N	N	Nonspecific Colloidal-Type Interaction Explains Size-Dependent Specific Binding of Membrane-Targeted Nanoparticles.	N	N	N	N
27824109	Y	Y	Thymic exosomes promote the final maturation of thymocytes.	Y	Y	Y	Y
27853769	Y	N	Receptor clustering and activation by multivalent interaction through recognition peptides presented on exosomes.	Y	Y	Y	N
27882696	N	N	Fetuin-A (alpha 2HS glycoprotein) modulates growth, motility, invasion, and senescence in high-grade astrocytomas.	N	N	N	Y
27924340	N	N	Exosome-like silica nanoparticles: a novel ultrasound contrast agent for stem cell imaging.	N	N	N	N
27941871	Y	N	Nanosomes carrying doxorubicin exhibit potent anticancer activity against human lung cancer cells.	Y	N	Y	Y
28024915	N	N	How do megakaryocytic microparticles target and deliver cargo to alter the fate of hematopoietic stem cells?	N	N	Y	N
28146434	Y	Y	Selective extracellular vesicle exclusion of miR-142-3p by oral cancer cells promotes both internal and extracellular malignant phenotypes.	Y	Y	Y	Y
28283754	N	N	Leishmania donovani chaperonin 10 regulates parasite internalization and intracellular survival in human macrophages.	N	N	N	Y
28466459	Y	N	Curcumin Encapsulated in Milk Exosomes Resists Human Digestion and Possesses Enhanced Intestinal Permeability in Vitro.	Y	N	Y	N
28486958	Y	Y	Exosomes as potential alternatives to stem cell therapy for intervertebral disc degeneration: in-vitro study on exosomes in interaction of nucleus pulposus cells and bone marrow mesenchymal stem cells.	Y	N	Y	Y
28505322	N	Y	Exosomes in Toxicology: Relevance to Chemical Exposure and Pathogenesis of Environmentally Linked Diseases.	Y	N	Y	N
28512335	Y	N	Arginine-rich cell-penetrating peptide-modified extracellular vesicles for active macropinocytosis induction and efficient intracellular delivery.	Y	N	Y	N
28566720	Y	Y	Exosomes derived from human umbilical cord mesenchymal stem cells protect against cisplatin-induced ovarian granulosa cell stress and apoptosis in vitro.	Y	Y	Y	Y
28586196	N	N	Real-Time Imaging of Endocytosis and Intracellular Trafficking of Semiconducting Polymer Dots.	N	N	N	N
28586292	N	N	A Systematic Evaluation of Factors Affecting Extracellular Vesicle Uptake by Breast Cancer Cells.	N	N	N	N
28600520	N	N	REG3β modifies cell tumor function by impairing extracellular vesicle uptake.	N	N	N	Y
28660234	N	N	Isolation of Exosomes from Semen for in vitro Uptake and HIV-1 Infection Assays.	N	N	N	N
28688216	N	N	Molecular aspects of diabetes mellitus: Resistin, microRNA, and exosome.	N	N	N	N
28715655	N	N	Macrophage exosomes as natural nanocarriers for protein delivery to inflamed brain.	N	N	N	N
28717423	Y	Y	Contribution of neuroblastoma-derived exosomes to the production of pro-tumorigenic signals by bone marrow mesenchymal stromal cells.	Y	Y	Y	Y
28727410	Y	Y	Exosomes Mediate Epithelium-Mesenchyme Crosstalk in Organ Development.	Y	Y	Y	N
28754944	N	N	Cytosolic antibody delivery by lipid-sensitive endosomolytic peptide.	N	N	N	N
28757579	N	N	Microbubbles-Assisted Ultrasound Triggers the Release of Extracellular Vesicles.	N	N	N	N
28835279	N	N	Aβ accumulation causes MVB enlargement and is modelled by dominant negative VPS4A.	N	N	N	N
28880029	N	N	Fluorescence labelling of extracellular vesicles using a novel thiol-based strategy for quantitative analysis of cellular delivery and intracellular traffic.	N	N	N	N
28960165	N	N	Recent advances in exosome-based nanovehicles as RNA interference therapeutic carriers.	N	N	N	N
28967249	N	N	Small Interfering RNA in Milk Exosomes Is Resistant to Digestion and Crosses the Intestinal Barrier In Vitro.	Y	N	N	N
28977990	Y	Y	Exosomal tetraspanins mediate cancer metastasis by altering host microenvironment.	Y	Y	Y	Y
28978688	Y	Y	Rab27-Dependent Exosome Production Inhibits Chronic Inflammation and Enables Acute Responses to Inflammatory Stimuli.	Y	Y	N	Y
28986361	N	N	Regulating microRNA expression: at the heart of diabetes mellitus and the mitochondrion.	N	N	N	N
29047044	Y	N	Exosomes for the Enhanced Tissue Bioavailability and Efficacy of Curcumin.	Y	Y	Y	N
29085024	N	N	Bioinspired Cell-Derived Nanovesicles versus Exosomes as Drug Delivery Systems: a Cost-Effective Alternative.	N	N	N	N
29101235	N	N	Mechanisms and modulation of microvesicle uptake in a model of alveolar cell communication.	N	N	N	N
29107112	N	N	The emerging role of exosome-derived non-coding RNAs in cancer biology.	N	N	Y	N
29143286	N	N	Doxycycline-inducible and astrocyte-specific HIV-1 Tat transgenic mice (iTat) as an HIV/neuroAIDS model.	N	N	N	N
29158318	Y	Y	Cisplatin induces the release of extracellular vesicles from ovarian cancer cells that can induce invasiveness and drug resistance in bystander cells.	Y	Y	Y	Y
29410228	N	N	Facile metabolic glycan labeling strategy for exosome tracking.	N	N	N	N
29424657	Y	Y	Extracellular vesicles regulate immune responses and cellular function in intestinal inflammation and repair.	Y	Y	Y	Y
29435922	N	N	Isolation and Analysis of Exosomal MicroRNAs from Ovarian Follicular Fluid.	N	N	N	N
29472616	Y	N	Mutant p53 cancers reprogram macrophages to tumor supporting macrophages via exosomal miR-1246.	Y	Y	Y	Y
29491466	N	N	Characterization of Exosomal SLC22A5 (OCTN2) carnitine transporter.	N	N	N	N
29502342	N	N	Caveolin-1 down-regulation is required for Wnt5a-Frizzled 2 signalling in Ha-RasV12 -induced cell transformation.	N	N	N	Y
29560554	Y	Y	Effects of exosomes from LPS-activated macrophages on adipocyte gene expression, differentiation, and insulin-dependent glucose uptake.	Y	Y	Y	Y
29560793	N	N	Extracellular vesicles and vesicle-free secretome of the protozoa Acanthamoeba castellanii under homeostasis and nutritional stress and their damaging potential to host cells.	N	N	Y	N
29621543	N	N	Cardiac-specific delivery by cardiac tissue-targeting peptide-expressing exosomes.	N	N	N	N
29678958	N	N	Cholesterol and the journey of extracellular vesicles.	N	N	N	N
29709910	N	N	A Novel Strategy to Increase the Yield of Exosomes (Extracellular Vesicles) for an Expansion of Basic Research.	N	N	N	N
29713019	N	N	Imaging of angiogenesis of human umbilical vein endothelial cells by uptake of exosomes secreted from hepatocellular carcinoma cells.	N	Y	N	N
29800682	Y	Y	Pancreatic cancer-derived exosomes suppress the production of GIP and GLP-1 from STC-1 cells in vitro by down-regulating the PCSK1/3.	Y	Y	Y	Y
29848280	N	N	Recent Findings in Melatonin Research and Their Relevance to the CNS.	N	N	N	N
29858962	N	N	Identification of biomarkers associated with partial epithelial to mesenchymal transition in the secretome of slug over-expressing hepatocellular carcinoma cells.	N	N	N	N
29867925	Y	Y	Breast Cancer-Derived Exosomes Alter Macrophage Polarization via gp130/STAT3 Signaling.	Y	Y	Y	Y
29870225	N	N	Uptake profiles of human serum exosomes by murine and human tumor cells through combined use of colloidal nanoplasmonics and flow cytofluorimetric analysis.	N	N	N	N